entity_type,id,name,category,resistance,lambda_learning,weight_in_qhe,frequency,target_streak,description,created_at,archived,state,hardwork_budget_hours,max_pomodoros_per_day,sleep_target_hours,qhe_target,break_minutes,allowed_phases,date,bedtime,wake_time,quality_score,deep_sleep_pct,rem_sleep_pct,interruptions,notes,source,duration_hours,label,start,end,period,routine_id,energia_nivel,foco_nivel,duration_minutes,overlaps_period,has_routine_link,block_id,routine_type,text,humor,is_entry_routine,is_exit_routine,entry_text,periods_covered,routines_completed,desvios,ajustes_finos,rotinas_logs,licoes_aprendidas,pomodoros_completos,humor_morning,humor_evening,updated_at,round_number,started_at,completed_at,paused_duration_seconds,actual_duration_minutes,is_focus_round,is_break_round,tipo_dia,hardwork_orcado_min,hardwork_realizado_min,pomodoros_meta,pomodoros_realizados,tem_curso,tem_deadline,observacoes,desvio_min,produtividade_pct,parar_de_fazer,repetir,sempre_fazer,big_win,deu_certo,deu_errado,maior_aprendizado,ajustes_para_amanha,estado_geral,eat_min,rest_min,pesado,notas,duracao_total,within_budget,codigo,ritual,duracao_min,completed,severity,rationale,setpoints,days_in_state,previous_state,qhe_input,energy_input,infraction_count,applied,applied_at,minutos,reason,block_id_before,block_id_after
sleep_record,sle_2026_05_04,,,,,,,,,2026-05-04T04:09:00+00:00,,,,,,,,,2026-05-04,20:59:00,04:09:00,9,20.772615834809258,22.015162522896908,2,Sono normal.,MANUAL,7.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_135_00_2026_05_04,,,,,,,,,2026-05-04T04:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-04T04:30:00+00:00,2026-05-04T08:00:00+00:00,MANHA,,,,210,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_135_00_2026_05_04,,,,,,,,,2026-05-04T22:00:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,MANHA,rou_syn_135_2026_05_04,8,9,,,,,ENTRY,Rotina automatica (off=35),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_135_00_2026_05_04,,,,,,,,,2026-05-04T20:00:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,,,7,8,,,,,,,,,,Dia off=35. Tipo curso. Energia 7/10. Foco 8/10. 8/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],8,3,3,2026-06-08T20:53:51.711561+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_135_00_2026_05_04,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-04T04:00:00+00:00,2026-05-04T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_04,,,,,,,,,2026-05-04T04:00:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,180,8,8,true,false,Synthetic off=35,-60,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_04,,,,,,,,,2026-05-04T22:00:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 8/8 pomodoros""]",[],Aprendizado do dia off=35.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_04,,,,,,,,,2026-05-04T12:05:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_04,,,,,,,,,2026-05-04T08:00:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_04,,,,,,,,,2026-05-04T09:00:00+00:00,,,,,,,,,2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_135_2026_05_04,,,,,,,,,2026-05-04T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_614751a34b1b"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.711647""}",0,,0.78,H,0,true,2026-05-04T20:30:00+00:00,,,,
sleep_record,sle_2026_05_05,,,,,,,,,2026-05-05T05:46:00+00:00,,,,,,,,,2026-05-05,20:36:00,05:46:00,9,21.457761717910845,22.26319060425804,0,Sono normal.,MANUAL,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_134_00_2026_05_05,,,,,,,,,2026-05-05T05:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-05T05:30:00+00:00,2026-05-05T08:00:00+00:00,MANHA,,,,150,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_134_00_2026_05_05,,,,,,,,,2026-05-05T22:00:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,MANHA,rou_syn_134_2026_05_05,10,8,,,,,ENTRY,Rotina automatica (off=34),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_134_00_2026_05_05,,,,,,,,,2026-05-05T20:00:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,,,9,7,,,,,,,,,,Dia off=34. Tipo curso. Energia 9/10. Foco 7/10. 6/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],6,5,5,2026-06-08T20:53:51.711749+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_134_00_2026_05_05,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-05T04:00:00+00:00,2026-05-05T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_05,,,,,,,,,2026-05-05T04:00:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,213,8,6,true,false,Synthetic off=34,-27,88.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_05,,,,,,,,,2026-05-05T22:00:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 6/8 pomodoros""]",[],Aprendizado do dia off=34.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_05,,,,,,,,,2026-05-05T12:05:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_05,,,,,,,,,2026-05-05T08:00:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_05,,,,,,,,,2026-05-05T09:00:00+00:00,,,,,,,,,2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_134_2026_05_05,,,,,,,,,2026-05-05T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_8093fb056285"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.711817""}",0,,0.78,H,0,true,2026-05-05T20:30:00+00:00,,,,
sleep_record,sle_2026_05_06,,,,,,,,,2026-05-06T06:26:00+00:00,,,,,,,,,2026-05-06,20:24:00,06:26:00,9,18.9166462045332,18.605940967239494,2,Sono normal.,MANUAL,10.033333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_133_00_2026_05_06,,,,,,,,,2026-05-06T06:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-06T06:30:00+00:00,2026-05-06T08:00:00+00:00,MANHA,,,,90,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_133_00_2026_05_06,,,,,,,,,2026-05-06T22:00:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,MANHA,rou_syn_133_2026_05_06,9,8,,,,,ENTRY,Rotina automatica (off=33),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_133_00_2026_05_06,,,,,,,,,2026-05-06T20:00:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,,,8,7,,,,,,,,,,Dia off=33. Tipo curso. Energia 8/10. Foco 7/10. 7/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],"[""Desvio leve de horario.""]",[],[],[],7,3,3,2026-06-08T20:53:51.711904+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_133_00_2026_05_06,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-06T04:00:00+00:00,2026-05-06T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_06,,,,,,,,,2026-05-06T04:00:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,199,8,7,true,false,Synthetic off=33,-41,82.91666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_06,,,,,,,,,2026-05-06T22:00:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 7/8 pomodoros""]",[],Aprendizado do dia off=33.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_06,,,,,,,,,2026-05-06T12:05:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_06,,,,,,,,,2026-05-06T08:00:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_06,,,,,,,,,2026-05-06T09:00:00+00:00,,,,,,,,,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_133_2026_05_06,,,,,,,,,2026-05-06T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_92f93c34acaa"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.711967""}",0,,0.78,H,1,true,2026-05-06T20:30:00+00:00,,,,
sleep_record,sle_2026_05_07,,,,,,,,,2026-05-07T04:15:00+00:00,,,,,,,,,2026-05-07,20:50:00,04:15:00,9,18.853944746795893,19.06369965557384,2,Sono normal.,MANUAL,7.416666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_132_00_2026_05_07,,,,,,,,,2026-05-07T04:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-07T04:30:00+00:00,2026-05-07T08:00:00+00:00,MANHA,,,,210,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_132_00_2026_05_07,,,,,,,,,2026-05-07T22:00:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,MANHA,rou_syn_132_2026_05_07,7,10,,,,,ENTRY,Rotina automatica (off=32),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_132_00_2026_05_07,,,,,,,,,2026-05-07T20:00:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,,,6,9,,,,,,,,,,Dia off=32. Tipo curso. Energia 6/10. Foco 9/10. 8/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],[],[],[],[],8,5,3,2026-06-08T20:53:51.712043+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_132_00_2026_05_07,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-07T04:00:00+00:00,2026-05-07T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_07,,,,,,,,,2026-05-07T04:00:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,262,8,8,true,false,Synthetic off=32,22,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_07,,,,,,,,,2026-05-07T22:00:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 8/8 pomodoros""]",[],Aprendizado do dia off=32.,[],regular,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_07,,,,,,,,,2026-05-07T12:05:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_07,,,,,,,,,2026-05-07T08:00:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_07,,,,,,,,,2026-05-07T09:00:00+00:00,,,,,,,,,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
policy_decision,pol_demo_132_2026_05_07,,,,,,,,,2026-05-07T20:30:00+00:00,,MAINTAIN,,,,,,,2026-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INFO,Dia estavel - Q2.,"{""id"": ""set_06f7b62c7e54"", ""state"": ""MAINTAIN"", ""hardwork_budget_hours"": 6.0, ""max_pomodoros_per_day"": 8, ""sleep_target_hours"": 8.0, ""qhe_target"": 0.75, ""break_minutes"": 10, ""allowed_phases"": [""DEEP_WORK"", ""SHALLOW_WORK""], ""description"": ""MAINTAIN regime: steady cadence. 6h hard work, 8 pomodoros, sleep 8h, Q_HE target 0.75."", ""created_at"": ""2026-06-08 17:53:51.712099""}",0,,0.78,M,0,true,2026-05-07T20:30:00+00:00,,,,
sleep_record,sle_2026_05_08,,,,,,,,,2026-05-08T05:52:00+00:00,,,,,,,,,2026-05-08,20:46:00,05:52:00,6,27.23256355589408,22.595444889086213,1,Sono normal.,MANUAL,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time_block,blk_demo_131_00_2026_05_08,,,,,,,,,2026-05-08T05:30:00+00:00,,,,,,,,,,,,,,,,,,,Deep Work,2026-05-08T05:30:00+00:00,2026-05-08T08:00:00+00:00,MANHA,,,,150,false,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
routine_log,rlg_demo_131_00_2026_05_08,,,,,,,,,2026-05-08T22:00:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,MANHA,rou_syn_131_2026_05_08,9,7,,,,,ENTRY,Rotina automatica (off=31),4,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
journal_entry,jrn_demo_131_00_2026_05_08,,,,,,,,,2026-05-08T20:00:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,,,8,6,,,,,,,,,,Dia off=31. Tipo curso. Energia 8/10. Foco 6/10. 8/8 pomodoros.,"[""MANHA"", ""NOITE"", ""TARDE""]",[],"[""Desvio leve de horario.""]",[],[],[],8,4,5,2026-06-08T20:53:51.712175+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodoro_round,pom_demo_131_00_2026_05_08,,,,,,,,,,,COMPLETE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2026-05-08T04:00:00+00:00,2026-05-08T05:00:00+00:00,0,60.0,true,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
day_context,ctx_2026_05_08,,,,,,,,,2026-05-08T04:00:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,curso,240,260,8,8,true,false,Synthetic off=31,20,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daily_reflection,ref_2026_05_08,,,,,,,,,2026-05-08T22:00:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],"[""Hidratar ao acordar""]","[""Meditacao matinal""]",,"[""Completou 8/8 pomodoros""]",[],Aprendizado do dia off=31.,[],bom,,,,,,,,,,,,,,,,,,,,,,,,
lunch_record,lun_2026_05_08,,,,,,,,,2026-05-08T12:05:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,false,Almoco normal.,35,true,,,,,,,,,,,,,,,,,,
transicao,trn_t1_2026_05_08,,,,,,,,,2026-05-08T08:00:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,HYDRATION,15,true,,,,,,,,,,,,,,
transicao,trn_t2_2026_05_08,,,,,,,,,2026-05-08T09:00:00+00:00,,,,,,,,,2026-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,MORNING,15,true,,,,,,,,,,,,,,
