id,date,cluster,round_number,state,started_at,completed_at,paused_duration_seconds
oper_pom_20251227_0003,2025-12-27,oper,3,COMPLETE,10:00,10:50,119
oper_pom_20251227_0004,2025-12-27,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251227_0005,2025-12-27,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20251227_0006,2025-12-27,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251227_0007,2025-12-27,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20251227_0008,2025-12-27,oper,8,INTERRUPTED,15:00,15:50,0
oper_pom_20251228_0001,2025-12-28,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251228_0002,2025-12-28,oper,2,INTERRUPTED,09:00,09:50,0
oper_pom_20251228_0003,2025-12-28,oper,3,COMPLETE,10:00,10:50,8
oper_pom_20251228_0004,2025-12-28,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251228_0005,2025-12-28,oper,5,COMPLETE,12:00,12:50,105
oper_pom_20251228_0006,2025-12-28,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251228_0007,2025-12-28,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20251228_0008,2025-12-28,oper,8,COMPLETE,15:00,15:50,78
oper_pom_20251229_0001,2025-12-29,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251229_0002,2025-12-29,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20251229_0003,2025-12-29,oper,3,INTERRUPTED,10:00,10:50,0
oper_pom_20251229_0004,2025-12-29,oper,4,COMPLETE,11:00,11:50,65
oper_pom_20251229_0005,2025-12-29,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20251229_0006,2025-12-29,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251229_0007,2025-12-29,oper,7,COMPLETE,14:00,14:50,95
oper_pom_20251229_0008,2025-12-29,oper,8,COMPLETE,15:00,15:50,25
oper_pom_20251230_0001,2025-12-30,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251230_0002,2025-12-30,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20251230_0003,2025-12-30,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20251230_0004,2025-12-30,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251230_0005,2025-12-30,oper,5,COMPLETE,12:00,12:50,33
oper_pom_20251230_0006,2025-12-30,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251230_0007,2025-12-30,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20251230_0008,2025-12-30,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20251230_0009,2025-12-30,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20251230_0010,2025-12-30,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20251230_0011,2025-12-30,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20251231_0001,2025-12-31,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20251231_0002,2025-12-31,oper,2,COMPLETE,09:00,09:50,81
oper_pom_20251231_0003,2025-12-31,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20251231_0004,2025-12-31,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20251231_0005,2025-12-31,oper,5,INTERRUPTED,12:00,12:50,0
oper_pom_20251231_0006,2025-12-31,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20251231_0007,2025-12-31,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20251231_0008,2025-12-31,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20251231_0009,2025-12-31,oper,9,COMPLETE,16:00,16:50,95
oper_pom_20251231_0010,2025-12-31,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20251231_0011,2025-12-31,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260101_0001,2026-01-01,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260101_0002,2026-01-01,oper,2,COMPLETE,09:00,09:50,54
oper_pom_20260101_0003,2026-01-01,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260101_0004,2026-01-01,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260101_0005,2026-01-01,oper,5,COMPLETE,12:00,12:50,73
oper_pom_20260101_0006,2026-01-01,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260101_0007,2026-01-01,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260101_0008,2026-01-01,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260101_0009,2026-01-01,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260101_0010,2026-01-01,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260101_0011,2026-01-01,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260102_0001,2026-01-02,oper,1,COMPLETE,08:00,08:50,114
oper_pom_20260102_0002,2026-01-02,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260102_0003,2026-01-02,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260102_0004,2026-01-02,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260102_0005,2026-01-02,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260102_0006,2026-01-02,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260102_0007,2026-01-02,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260102_0008,2026-01-02,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260102_0009,2026-01-02,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260102_0010,2026-01-02,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260102_0011,2026-01-02,oper,11,INTERRUPTED,18:00,18:50,0
oper_pom_20260103_0001,2026-01-03,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260103_0002,2026-01-03,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260103_0003,2026-01-03,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260103_0004,2026-01-03,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260103_0005,2026-01-03,oper,5,COMPLETE,12:00,12:50,115
oper_pom_20260103_0006,2026-01-03,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260103_0007,2026-01-03,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260103_0008,2026-01-03,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260104_0001,2026-01-04,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260104_0002,2026-01-04,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260104_0003,2026-01-04,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260104_0004,2026-01-04,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260104_0005,2026-01-04,oper,5,COMPLETE,12:00,12:50,10
oper_pom_20260104_0006,2026-01-04,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260104_0007,2026-01-04,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260104_0008,2026-01-04,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260105_0001,2026-01-05,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260105_0002,2026-01-05,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260105_0003,2026-01-05,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260105_0004,2026-01-05,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260105_0005,2026-01-05,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260105_0006,2026-01-05,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260105_0007,2026-01-05,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260105_0008,2026-01-05,oper,8,COMPLETE,15:00,15:50,62
oper_pom_20260106_0001,2026-01-06,oper,1,INTERRUPTED,08:00,08:50,0
oper_pom_20260106_0002,2026-01-06,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260106_0003,2026-01-06,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260106_0004,2026-01-06,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260106_0005,2026-01-06,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260106_0006,2026-01-06,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260106_0007,2026-01-06,oper,7,COMPLETE,14:00,14:50,118
oper_pom_20260106_0008,2026-01-06,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260106_0009,2026-01-06,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260106_0010,2026-01-06,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260106_0011,2026-01-06,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260107_0001,2026-01-07,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260107_0002,2026-01-07,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260107_0003,2026-01-07,oper,3,COMPLETE,10:00,10:50,60
oper_pom_20260107_0004,2026-01-07,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260107_0005,2026-01-07,oper,5,INTERRUPTED,12:00,12:50,0
oper_pom_20260107_0006,2026-01-07,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260107_0007,2026-01-07,oper,7,INTERRUPTED,14:00,14:50,100
oper_pom_20260107_0008,2026-01-07,oper,8,COMPLETE,15:00,15:50,119
oper_pom_20260107_0009,2026-01-07,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260107_0010,2026-01-07,oper,10,INTERRUPTED,17:00,17:50,0
oper_pom_20260107_0011,2026-01-07,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260108_0001,2026-01-08,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260108_0002,2026-01-08,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260108_0003,2026-01-08,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260108_0004,2026-01-08,oper,4,COMPLETE,11:00,11:50,52
oper_pom_20260108_0005,2026-01-08,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260108_0006,2026-01-08,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260108_0007,2026-01-08,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260108_0008,2026-01-08,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260108_0009,2026-01-08,oper,9,INTERRUPTED,16:00,16:50,109
oper_pom_20260108_0010,2026-01-08,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260108_0011,2026-01-08,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260109_0001,2026-01-09,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260109_0002,2026-01-09,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260109_0003,2026-01-09,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260109_0004,2026-01-09,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260109_0005,2026-01-09,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260109_0006,2026-01-09,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260109_0007,2026-01-09,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260109_0008,2026-01-09,oper,8,COMPLETE,15:00,15:50,117
oper_pom_20260109_0009,2026-01-09,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260109_0010,2026-01-09,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260109_0011,2026-01-09,oper,11,COMPLETE,18:00,18:50,52
oper_pom_20260110_0001,2026-01-10,oper,1,INTERRUPTED,08:00,08:50,0
oper_pom_20260110_0002,2026-01-10,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260110_0003,2026-01-10,oper,3,COMPLETE,10:00,10:50,5
oper_pom_20260110_0004,2026-01-10,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260110_0005,2026-01-10,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260110_0006,2026-01-10,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260110_0007,2026-01-10,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260111_0001,2026-01-11,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260111_0002,2026-01-11,oper,2,COMPLETE,09:00,09:50,35
oper_pom_20260111_0003,2026-01-11,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260111_0004,2026-01-11,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260111_0005,2026-01-11,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260111_0006,2026-01-11,oper,6,INTERRUPTED,13:00,13:50,0
oper_pom_20260111_0007,2026-01-11,oper,7,COMPLETE,14:00,14:50,34
oper_pom_20260111_0008,2026-01-11,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260112_0001,2026-01-12,oper,1,COMPLETE,08:00,08:50,89
oper_pom_20260112_0002,2026-01-12,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260112_0003,2026-01-12,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260112_0004,2026-01-12,oper,4,COMPLETE,11:00,11:50,86
oper_pom_20260112_0005,2026-01-12,oper,5,COMPLETE,12:00,12:50,96
oper_pom_20260112_0006,2026-01-12,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260112_0007,2026-01-12,oper,7,INTERRUPTED,14:00,14:50,0
oper_pom_20260112_0008,2026-01-12,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260113_0001,2026-01-13,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260113_0002,2026-01-13,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260113_0003,2026-01-13,oper,3,INTERRUPTED,10:00,10:50,0
oper_pom_20260113_0004,2026-01-13,oper,4,COMPLETE,11:00,11:50,3
oper_pom_20260113_0005,2026-01-13,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260113_0006,2026-01-13,oper,6,COMPLETE,13:00,13:50,11
oper_pom_20260113_0007,2026-01-13,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260113_0008,2026-01-13,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260113_0009,2026-01-13,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260113_0010,2026-01-13,oper,10,COMPLETE,17:00,17:50,54
oper_pom_20260113_0011,2026-01-13,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260114_0001,2026-01-14,oper,1,INTERRUPTED,08:00,08:50,0
oper_pom_20260114_0002,2026-01-14,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260114_0003,2026-01-14,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260114_0004,2026-01-14,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260114_0005,2026-01-14,oper,5,COMPLETE,12:00,12:50,5
oper_pom_20260114_0006,2026-01-14,oper,6,COMPLETE,13:00,13:50,62
oper_pom_20260114_0007,2026-01-14,oper,7,COMPLETE,14:00,14:50,7
oper_pom_20260114_0008,2026-01-14,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260114_0009,2026-01-14,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260114_0010,2026-01-14,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260114_0011,2026-01-14,oper,11,INTERRUPTED,18:00,18:50,0
oper_pom_20260115_0001,2026-01-15,oper,1,INTERRUPTED,08:00,08:50,11
oper_pom_20260115_0002,2026-01-15,oper,2,INTERRUPTED,09:00,09:50,0
oper_pom_20260115_0003,2026-01-15,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260115_0004,2026-01-15,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260115_0005,2026-01-15,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260115_0006,2026-01-15,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260115_0007,2026-01-15,oper,7,COMPLETE,14:00,14:50,86
oper_pom_20260115_0008,2026-01-15,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260115_0009,2026-01-15,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260115_0010,2026-01-15,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260115_0011,2026-01-15,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260116_0001,2026-01-16,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260116_0002,2026-01-16,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260116_0003,2026-01-16,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260116_0004,2026-01-16,oper,4,INTERRUPTED,11:00,11:50,0
oper_pom_20260116_0005,2026-01-16,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260116_0006,2026-01-16,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260116_0007,2026-01-16,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260116_0008,2026-01-16,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260117_0001,2026-01-17,oper,1,INTERRUPTED,08:00,08:50,103
oper_pom_20260117_0002,2026-01-17,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260117_0003,2026-01-17,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260117_0004,2026-01-17,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260117_0005,2026-01-17,oper,5,COMPLETE,12:00,12:50,74
oper_pom_20260117_0006,2026-01-17,oper,6,COMPLETE,13:00,13:50,10
oper_pom_20260117_0007,2026-01-17,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260117_0008,2026-01-17,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260118_0001,2026-01-18,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260118_0002,2026-01-18,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260118_0003,2026-01-18,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260118_0004,2026-01-18,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260118_0005,2026-01-18,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260118_0006,2026-01-18,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260118_0007,2026-01-18,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260118_0008,2026-01-18,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260119_0001,2026-01-19,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260119_0002,2026-01-19,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260119_0003,2026-01-19,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260119_0004,2026-01-19,oper,4,INTERRUPTED,11:00,11:50,0
oper_pom_20260119_0005,2026-01-19,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260119_0006,2026-01-19,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260119_0007,2026-01-19,oper,7,COMPLETE,14:00,14:50,40
oper_pom_20260119_0008,2026-01-19,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260120_0001,2026-01-20,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260120_0002,2026-01-20,oper,2,COMPLETE,09:00,09:50,4
oper_pom_20260120_0003,2026-01-20,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260120_0004,2026-01-20,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260120_0005,2026-01-20,oper,5,COMPLETE,12:00,12:50,92
oper_pom_20260120_0006,2026-01-20,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260120_0007,2026-01-20,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260120_0008,2026-01-20,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260120_0009,2026-01-20,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260120_0010,2026-01-20,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260120_0011,2026-01-20,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260121_0001,2026-01-21,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260121_0002,2026-01-21,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260121_0003,2026-01-21,oper,3,INTERRUPTED,10:00,10:50,0
oper_pom_20260121_0004,2026-01-21,oper,4,COMPLETE,11:00,11:50,0
oper_pom_20260121_0005,2026-01-21,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260121_0006,2026-01-21,oper,6,INTERRUPTED,13:00,13:50,100
oper_pom_20260121_0007,2026-01-21,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260121_0008,2026-01-21,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260121_0009,2026-01-21,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260121_0010,2026-01-21,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260121_0011,2026-01-21,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260122_0001,2026-01-22,oper,1,INTERRUPTED,08:00,08:50,0
oper_pom_20260122_0002,2026-01-22,oper,2,COMPLETE,09:00,09:50,66
oper_pom_20260122_0003,2026-01-22,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260122_0004,2026-01-22,oper,4,COMPLETE,11:00,11:50,30
oper_pom_20260122_0005,2026-01-22,oper,5,INTERRUPTED,12:00,12:50,0
oper_pom_20260122_0006,2026-01-22,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260122_0007,2026-01-22,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260122_0008,2026-01-22,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260122_0009,2026-01-22,oper,9,INTERRUPTED,16:00,16:50,0
oper_pom_20260122_0010,2026-01-22,oper,10,COMPLETE,17:00,17:50,0
oper_pom_20260122_0011,2026-01-22,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260123_0001,2026-01-23,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260123_0002,2026-01-23,oper,2,COMPLETE,09:00,09:50,62
oper_pom_20260123_0003,2026-01-23,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260123_0004,2026-01-23,oper,4,INTERRUPTED,11:00,11:50,0
oper_pom_20260123_0005,2026-01-23,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260123_0006,2026-01-23,oper,6,COMPLETE,13:00,13:50,0
oper_pom_20260123_0007,2026-01-23,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260123_0008,2026-01-23,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260123_0009,2026-01-23,oper,9,COMPLETE,16:00,16:50,0
oper_pom_20260123_0010,2026-01-23,oper,10,INTERRUPTED,17:00,17:50,42
oper_pom_20260123_0011,2026-01-23,oper,11,COMPLETE,18:00,18:50,0
oper_pom_20260124_0001,2026-01-24,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260124_0002,2026-01-24,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260125_0001,2026-01-25,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260125_0002,2026-01-25,oper,2,COMPLETE,09:00,09:50,0
oper_pom_20260125_0003,2026-01-25,oper,3,INTERRUPTED,10:00,10:50,0
oper_pom_20260125_0004,2026-01-25,oper,4,COMPLETE,11:00,11:50,66
oper_pom_20260125_0005,2026-01-25,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260125_0006,2026-01-25,oper,6,COMPLETE,13:00,13:50,86
oper_pom_20260125_0007,2026-01-25,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260125_0008,2026-01-25,oper,8,COMPLETE,15:00,15:50,0
oper_pom_20260126_0001,2026-01-26,oper,1,COMPLETE,08:00,08:50,0
oper_pom_20260126_0002,2026-01-26,oper,2,COMPLETE,09:00,09:50,18
oper_pom_20260126_0003,2026-01-26,oper,3,COMPLETE,10:00,10:50,0
oper_pom_20260126_0004,2026-01-26,oper,4,COMPLETE,11:00,11:50,67
oper_pom_20260126_0005,2026-01-26,oper,5,COMPLETE,12:00,12:50,0
oper_pom_20260126_0006,2026-01-26,oper,6,INTERRUPTED,13:00,13:50,0
oper_pom_20260126_0007,2026-01-26,oper,7,COMPLETE,14:00,14:50,0
oper_pom_20260126_0008,2026-01-26,oper,8,COMPLETE,15:00,15:50,0
