id,date,cluster,codigo,ritual,duracao_min,completed,notas
oper_trn_T9_20251228,2025-12-28,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20251229,2025-12-29,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20251229,2025-12-29,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20251229,2025-12-29,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20251229,2025-12-29,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20251229,2025-12-29,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20251229,2025-12-29,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20251229,2025-12-29,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20251229,2025-12-29,oper,T8,Entrada NOITE,3,False,Synthetic Fim_de_Semana
oper_trn_T9_20251229,2025-12-29,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20251230,2025-12-30,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20251230,2025-12-30,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20251230,2025-12-30,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20251230,2025-12-30,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20251230,2025-12-30,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20251230,2025-12-30,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20251230,2025-12-30,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20251230,2025-12-30,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20251230,2025-12-30,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20251231,2025-12-31,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20251231,2025-12-31,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20251231,2025-12-31,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20251231,2025-12-31,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20251231,2025-12-31,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20251231,2025-12-31,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20251231,2025-12-31,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20251231,2025-12-31,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20251231,2025-12-31,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260101,2026-01-01,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260101,2026-01-01,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260101,2026-01-01,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260101,2026-01-01,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260101,2026-01-01,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260101,2026-01-01,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260101,2026-01-01,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260101,2026-01-01,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260101,2026-01-01,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260102,2026-01-02,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260102,2026-01-02,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260102,2026-01-02,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260102,2026-01-02,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260102,2026-01-02,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260102,2026-01-02,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260102,2026-01-02,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260102,2026-01-02,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260102,2026-01-02,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260103,2026-01-03,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20260103,2026-01-03,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20260103,2026-01-03,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20260103,2026-01-03,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20260103,2026-01-03,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20260103,2026-01-03,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20260103,2026-01-03,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20260103,2026-01-03,oper,T8,Entrada NOITE,3,False,Synthetic Fim_de_Semana
oper_trn_T9_20260103,2026-01-03,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20260104,2026-01-04,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20260104,2026-01-04,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20260104,2026-01-04,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20260104,2026-01-04,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20260104,2026-01-04,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20260104,2026-01-04,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20260104,2026-01-04,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20260104,2026-01-04,oper,T8,Entrada NOITE,3,True,Synthetic Fim_de_Semana
oper_trn_T9_20260104,2026-01-04,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20260105,2026-01-05,oper,T1,Sessão despertar,5,True,Synthetic Desvio_Leve
oper_trn_T2_20260105,2026-01-05,oper,T2,Entrada MANHA,3,True,Synthetic Desvio_Leve
oper_trn_T3_20260105,2026-01-05,oper,T3,Início foco #1,2,True,Synthetic Desvio_Leve
oper_trn_T4_20260105,2026-01-05,oper,T4,Pausa manhã,10,True,Synthetic Desvio_Leve
oper_trn_T5_20260105,2026-01-05,oper,T5,Entrada TARDE,3,True,Synthetic Desvio_Leve
oper_trn_T6_20260105,2026-01-05,oper,T6,Almoço,45,True,Synthetic Desvio_Leve
oper_trn_T7_20260105,2026-01-05,oper,T7,Pós-almoço,20,False,Synthetic Desvio_Leve
oper_trn_T8_20260105,2026-01-05,oper,T8,Entrada NOITE,3,True,Synthetic Desvio_Leve
oper_trn_T9_20260105,2026-01-05,oper,T9,Sessão dormir,10,True,Synthetic Desvio_Leve
oper_trn_T1_20260106,2026-01-06,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260106,2026-01-06,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260106,2026-01-06,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260106,2026-01-06,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260106,2026-01-06,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260106,2026-01-06,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260106,2026-01-06,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260106,2026-01-06,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260106,2026-01-06,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260107,2026-01-07,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260107,2026-01-07,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260107,2026-01-07,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260107,2026-01-07,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260107,2026-01-07,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260107,2026-01-07,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260107,2026-01-07,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260107,2026-01-07,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260107,2026-01-07,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260108,2026-01-08,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260108,2026-01-08,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260108,2026-01-08,oper,T3,Início foco #1,2,False,Synthetic Padrao_Ouro
oper_trn_T4_20260108,2026-01-08,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260108,2026-01-08,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260108,2026-01-08,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260108,2026-01-08,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260108,2026-01-08,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260108,2026-01-08,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260109,2026-01-09,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260109,2026-01-09,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260109,2026-01-09,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260109,2026-01-09,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260109,2026-01-09,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260109,2026-01-09,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260109,2026-01-09,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260109,2026-01-09,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260109,2026-01-09,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260110,2026-01-10,oper,T1,Sessão despertar,5,True,Synthetic Lunch_Pesado
oper_trn_T2_20260110,2026-01-10,oper,T2,Entrada MANHA,3,False,Synthetic Lunch_Pesado
oper_trn_T3_20260110,2026-01-10,oper,T3,Início foco #1,2,True,Synthetic Lunch_Pesado
oper_trn_T4_20260110,2026-01-10,oper,T4,Pausa manhã,10,True,Synthetic Lunch_Pesado
oper_trn_T5_20260110,2026-01-10,oper,T5,Entrada TARDE,3,False,Synthetic Lunch_Pesado
oper_trn_T6_20260110,2026-01-10,oper,T6,Almoço,45,True,Synthetic Lunch_Pesado
oper_trn_T7_20260110,2026-01-10,oper,T7,Pós-almoço,20,True,Synthetic Lunch_Pesado
oper_trn_T8_20260110,2026-01-10,oper,T8,Entrada NOITE,3,True,Synthetic Lunch_Pesado
oper_trn_T9_20260110,2026-01-10,oper,T9,Sessão dormir,10,True,Synthetic Lunch_Pesado
oper_trn_T1_20260111,2026-01-11,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20260111,2026-01-11,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20260111,2026-01-11,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20260111,2026-01-11,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20260111,2026-01-11,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20260111,2026-01-11,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20260111,2026-01-11,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20260111,2026-01-11,oper,T8,Entrada NOITE,3,True,Synthetic Fim_de_Semana
oper_trn_T9_20260111,2026-01-11,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20260112,2026-01-12,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20260112,2026-01-12,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20260112,2026-01-12,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20260112,2026-01-12,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20260112,2026-01-12,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20260112,2026-01-12,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20260112,2026-01-12,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20260112,2026-01-12,oper,T8,Entrada NOITE,3,True,Synthetic Fim_de_Semana
oper_trn_T9_20260112,2026-01-12,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20260113,2026-01-13,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260113,2026-01-13,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260113,2026-01-13,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260113,2026-01-13,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260113,2026-01-13,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260113,2026-01-13,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260113,2026-01-13,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260113,2026-01-13,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260113,2026-01-13,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260114,2026-01-14,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260114,2026-01-14,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260114,2026-01-14,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260114,2026-01-14,oper,T4,Pausa manhã,10,False,Synthetic Padrao_Ouro
oper_trn_T5_20260114,2026-01-14,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260114,2026-01-14,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260114,2026-01-14,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260114,2026-01-14,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260114,2026-01-14,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260115,2026-01-15,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260115,2026-01-15,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260115,2026-01-15,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260115,2026-01-15,oper,T4,Pausa manhã,10,True,Synthetic Padrao_Ouro
oper_trn_T5_20260115,2026-01-15,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260115,2026-01-15,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260115,2026-01-15,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260115,2026-01-15,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260115,2026-01-15,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260116,2026-01-16,oper,T1,Sessão despertar,5,True,Synthetic Desvio_Leve
oper_trn_T2_20260116,2026-01-16,oper,T2,Entrada MANHA,3,True,Synthetic Desvio_Leve
oper_trn_T3_20260116,2026-01-16,oper,T3,Início foco #1,2,True,Synthetic Desvio_Leve
oper_trn_T4_20260116,2026-01-16,oper,T4,Pausa manhã,10,True,Synthetic Desvio_Leve
oper_trn_T5_20260116,2026-01-16,oper,T5,Entrada TARDE,3,True,Synthetic Desvio_Leve
oper_trn_T6_20260116,2026-01-16,oper,T6,Almoço,45,True,Synthetic Desvio_Leve
oper_trn_T7_20260116,2026-01-16,oper,T7,Pós-almoço,20,True,Synthetic Desvio_Leve
oper_trn_T8_20260116,2026-01-16,oper,T8,Entrada NOITE,3,True,Synthetic Desvio_Leve
oper_trn_T9_20260116,2026-01-16,oper,T9,Sessão dormir,10,True,Synthetic Desvio_Leve
oper_trn_T1_20260117,2026-01-17,oper,T1,Sessão despertar,5,True,Synthetic Desvio_Leve
oper_trn_T2_20260117,2026-01-17,oper,T2,Entrada MANHA,3,True,Synthetic Desvio_Leve
oper_trn_T3_20260117,2026-01-17,oper,T3,Início foco #1,2,True,Synthetic Desvio_Leve
oper_trn_T4_20260117,2026-01-17,oper,T4,Pausa manhã,10,True,Synthetic Desvio_Leve
oper_trn_T5_20260117,2026-01-17,oper,T5,Entrada TARDE,3,True,Synthetic Desvio_Leve
oper_trn_T6_20260117,2026-01-17,oper,T6,Almoço,45,True,Synthetic Desvio_Leve
oper_trn_T7_20260117,2026-01-17,oper,T7,Pós-almoço,20,False,Synthetic Desvio_Leve
oper_trn_T8_20260117,2026-01-17,oper,T8,Entrada NOITE,3,True,Synthetic Desvio_Leve
oper_trn_T9_20260117,2026-01-17,oper,T9,Sessão dormir,10,True,Synthetic Desvio_Leve
oper_trn_T1_20260118,2026-01-18,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20260118,2026-01-18,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20260118,2026-01-18,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20260118,2026-01-18,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20260118,2026-01-18,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20260118,2026-01-18,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20260118,2026-01-18,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20260118,2026-01-18,oper,T8,Entrada NOITE,3,True,Synthetic Fim_de_Semana
oper_trn_T9_20260118,2026-01-18,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20260119,2026-01-19,oper,T1,Sessão despertar,5,True,Synthetic Fim_de_Semana
oper_trn_T2_20260119,2026-01-19,oper,T2,Entrada MANHA,3,True,Synthetic Fim_de_Semana
oper_trn_T3_20260119,2026-01-19,oper,T3,Início foco #1,2,True,Synthetic Fim_de_Semana
oper_trn_T4_20260119,2026-01-19,oper,T4,Pausa manhã,10,True,Synthetic Fim_de_Semana
oper_trn_T5_20260119,2026-01-19,oper,T5,Entrada TARDE,3,True,Synthetic Fim_de_Semana
oper_trn_T6_20260119,2026-01-19,oper,T6,Almoço,45,True,Synthetic Fim_de_Semana
oper_trn_T7_20260119,2026-01-19,oper,T7,Pós-almoço,20,True,Synthetic Fim_de_Semana
oper_trn_T8_20260119,2026-01-19,oper,T8,Entrada NOITE,3,True,Synthetic Fim_de_Semana
oper_trn_T9_20260119,2026-01-19,oper,T9,Sessão dormir,10,True,Synthetic Fim_de_Semana
oper_trn_T1_20260120,2026-01-20,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260120,2026-01-20,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260120,2026-01-20,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
oper_trn_T4_20260120,2026-01-20,oper,T4,Pausa manhã,10,False,Synthetic Padrao_Ouro
oper_trn_T5_20260120,2026-01-20,oper,T5,Entrada TARDE,3,True,Synthetic Padrao_Ouro
oper_trn_T6_20260120,2026-01-20,oper,T6,Almoço,45,True,Synthetic Padrao_Ouro
oper_trn_T7_20260120,2026-01-20,oper,T7,Pós-almoço,20,True,Synthetic Padrao_Ouro
oper_trn_T8_20260120,2026-01-20,oper,T8,Entrada NOITE,3,True,Synthetic Padrao_Ouro
oper_trn_T9_20260120,2026-01-20,oper,T9,Sessão dormir,10,True,Synthetic Padrao_Ouro
oper_trn_T1_20260121,2026-01-21,oper,T1,Sessão despertar,5,True,Synthetic Padrao_Ouro
oper_trn_T2_20260121,2026-01-21,oper,T2,Entrada MANHA,3,True,Synthetic Padrao_Ouro
oper_trn_T3_20260121,2026-01-21,oper,T3,Início foco #1,2,True,Synthetic Padrao_Ouro
